,id,geo,suburb,postcode,rent,Federation University - Mount Helen,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3350, 'Invermay Park')","(-37.56, 143.82)",Invermay Park,3350.0,205.0,0.0,2140.0,65,509,True,15.6 km,121 km,90,140
1,"(3350, 'Golden Point')","(-37.56, 143.82)",Golden Point,3350.0,205.0,0.0,177.0,23,22,True,6.8 km,120 km,88,133
2,"(3350, 'Soldiers Hill')","(-37.56, 143.82)",Soldiers Hill,3350.0,205.0,0.0,177.0,56,50,True,12.8 km,117 km,88,120
3,"(3350, 'Newington')","(-37.56, 143.82)",Newington,3350.0,205.0,0.0,60.0,70,476,True,14.4 km,119 km,92,132
4,"(3350, 'Nerrina')","(-37.56, 143.82)",Nerrina,3350.0,205.0,0.0,292.0,71,494,True,16.9 km,122 km,87,169
5,"(3350, 'Mount Pleasant')","(-37.56, 143.82)",Mount Pleasant,3350.0,205.0,0.0,74.0,33,37,True,8.9 km,119 km,89,142
6,"(3350, 'Mount Helen')","(-37.56, 143.82)",Mount Helen,3350.0,205.0,0.0,236.0,7,7,True,0.6 km,126 km,90,146
7,"(3350, 'Mount Clear')","(-37.56, 143.82)",Mount Clear,3350.0,205.0,0.0,162.0,19,15,True,4.2 km,123 km,91,140
8,"(3350, 'Lake Wendouree')","(-37.56, 143.82)",Lake Wendouree,3350.0,205.0,0.0,160.0,61,90,True,13.1 km,117 km,92,125
9,"(3350, 'Alfredton')","(-37.56, 143.82)",Alfredton,3350.0,288.0,0.0,3.0,70,523,True,16.7 km,121 km,96,134
10,"(3350, 'Redan')","(-37.56, 143.82)",Redan,3350.0,205.0,0.0,241.0,30,461,True,9.2 km,118 km,91,144
11,"(3350, 'Ballarat')","(-37.56, 143.82)",Ballarat,3350.0,288.0,0.0,111.0,42,33,True,11.3 km,117 km,89,124
12,"(3350, 'Ballarat Central')","(-37.56, 143.82)",Ballarat Central,3350.0,288.0,0.0,7.0,39,40,True,11.5 km,116 km,90,112
13,"(3350, 'Ballarat East')","(-37.56, 143.82)",Ballarat East,3350.0,288.0,0.0,15.0,45,44,True,9.7 km,118 km,85,133
14,"(3350, 'Ballarat North')","(-37.56, 143.82)",Ballarat North,3350.0,288.0,0.0,52.0,62,54,True,16.4 km,121 km,88,149
15,"(3350, 'Ballarat West')","(-37.56, 143.82)",Ballarat West,3350.0,190.0,0.0,631.0,42,33,True,11.3 km,117 km,89,124
16,"(3350, 'Black Hill')","(-37.56, 143.82)",Black Hill,3350.0,205.0,0.0,154.0,54,56,True,13.2 km,118 km,86,133
17,"(3350, 'Brown Hill')","(-37.56, 143.82)",Brown Hill,3350.0,205.0,0.0,2140.0,55,467,True,14.6 km,123 km,82,163
18,"(3350, 'Canadian')","(-37.56, 143.82)",Canadian,3350.0,205.0,0.0,2140.0,31,30,True,6.8 km,121 km,88,142
19,"(3350, 'Eureka')","(-37.56, 143.82)",Eureka,3350.0,205.0,0.0,676.0,49,48,True,11.7 km,120 km,85,145
20,"(3350, 'Bakery Hill')","(-37.56, 143.82)",Bakery Hill,3350.0,288.0,0.0,111.0,43,32,True,12.1 km,116 km,86,119
21,"(3355, 'Lake Gardens')","(-37.55, 143.82)",Lake Gardens,3355.0,288.0,1.111950837,2.0,71,92,True,16.2 km,121 km,96,124
22,"(3355, 'Mitchell Park')","(-37.55, 143.82)",Mitchell Park,3355.0,288.0,1.111950837,8.0,80,503,True,19.4 km,123 km,97,145
23,"(3355, 'Wendouree')","(-37.55, 143.82)",Wendouree,3355.0,288.0,1.111950837,10.0,59,92,True,16.1 km,123 km,93,126
24,"(3355, 'Wendouree Village')","(-37.55, 143.82)",Wendouree Village,3355.0,205.0,1.111950837,412.5140736,59,92,True,16.1 km,123 km,93,126
25,"(3356, 'Delacombe')","(-37.59, 143.83)",Delacombe,3356.0,288.0,3.450300247,154.0,63,498,True,14.6 km,125 km,95,145
26,"(3356, 'Sebastopol')","(-37.59, 143.83)",Sebastopol,3356.0,288.0,3.450300247,412.5140736,26,477,True,7.0 km,121 km,94,134
27,"(3354, 'Ballarat MC')","(-37.56, 143.87)",Ballarat MC,3354.0,288.0,4.407302778,1.0,42,47,True,11.3 km,115 km,91,104
28,"(3354, 'Bakery Hill')","(-37.56, 143.87)",Bakery Hill,3354.0,288.0,4.407302778,11.0,43,32,True,12.1 km,116 km,86,119
